node,beta,degree
n0,-3.51991143906438,6
n100,-1.94160240624576,28
n1006,-1.43818987385348,45
n1009,-2.34480010856028,19
n1011,-0.559227572591565,99
n1014,-1.94160240624577,28
n10168,-4.2182609136025,3
n1018,-3.36402889844668,7
n1024,-1.56446375821739,40
n1032,-1.67663181284106,36
n10381,-5.32034712090361,1
n1048,-2.45946557240675,17
n10490,-4.2182609136025,3
n105,-1.2610167111047,53
n1053,-2.58807250110575,15
n1060,-2.73462116602256,13
n1078,-1.90480099215796,29
n1084,-3.51991143906438,6
n1087,-2.65878877372373,14
n109,-2.90512719009219,11
n11043,-3.92884361178356,4
n1114,-3.36402889844668,7
n1117,-2.58807250110575,15
n11185,-5.32034712090361,1
n1126,-2.45946557240675,17
n1127,-1.46235927362908,44
n1134,-1.83469209599483,31
n1143,-1.53807134094284,41
n11438,-4.62546239996182,2
n11459,-3.92884361178357,4
n1152,-3.10925402987224,9
n11557,-4.62546239996182,2
n1156,-2.10260251764155,24
n117,-2.90512719009219,11
n1171,-2.01913326864473,26
n1175,-1.59148219783467,39
n1177,-1.00303272350237,67
n1179,-0.29281969152083,124
n1181,-3.00216491085157,10
n1186,-3.36402889844668,7
n1187,-1.80123595697192,32
n1189,-0.189785021001322,135
n119,-2.73462116602256,13
n1204,-2.90512719009219,11
n1218,-1.80123595697192,32
n122,-3.51991143906438,6
n1220,-3.10925402987224,9
n124,-2.34480010856028,19
n1242,-3.51991143906438,6
n1245,-3.92884361178356,4
n1248,-2.34480010856028,19
n125,-3.51991143906438,6
n126,-1.3462538899008,49
n1265,-2.10260251764155,24
n1269,-2.24128070372103,21
n1271,-2.45946557240675,17
n1286,-2.06006679230716,25
n129,-4.2182609136025,3
n131,-2.81638932330843,12
n1310,-2.52181158765623,16
n1324,-3.00216491085157,10
n1325,-1.10694057450043,61
n1334,-1.1624260485613,58
n1341,-1.39131408225435,47
n1352,-1.76875772912284,33
n1358,-1.86919023742149,30
n1360,-2.19304414862394,22
n1361,-1.67663181284106,36
n1369,-2.40058675432394,18
n1370,-2.58807250110575,15
n1376,-2.73462116602256,13
n139,-3.22876674281693,8
n1395,-2.34480010856028,19
n14,-1.56446375821739,40
n1403,-1.70650668077122,35
n1405,-1.73719906213548,34
n1407,-2.06006679230716,25
n1408,-2.58807250110575,15
n1452,-3.51991143906438,6
n1453,-4.62546239996182,2
n1468,-3.10925402987224,9
n1479,-2.90512719009219,11
n1488,-3.70396596678197,5
n1493,-2.40058675432394,18
n1494,-2.52181158765623,16
n150,-3.70396596678196,5
n1504,-1.76875772912284,33
n1509,-2.24128070372103,21
n1511,-1.30286421198043,51
n1520,-2.65878877372373,14
n1522,-1.97968104286878,27
n1529,-3.92884361178357,4
n153,-2.90512719009219,11
n1532,-0.762107777997569,83
n1536,-2.10260251764155,24
n1542,-2.29178836023261,20
n1549,-3.10925402987224,9
n1551,-2.29178836023261,20
n1565,-1.90480099215796,29
n157,-2.81638932330843,12
n1571,-1.03669814678652,65
n1579,-2.19304414862394,22
n1586,-2.73462116602256,13
n1587,-2.45946557240675,17
n1588,-1.94160240624576,28
n1589,-0.582952379119752,97
n1593,-1.94160240624576,28
n1595,-1.59148219783467,39
n1598,-2.65878877372373,14
n1602,-2.90512719009219,11
n1620,-2.81638932330843,12
n1632,-2.45946557240675,17
n1633,-2.73462116602256,13
n1644,-2.10260251764155,24
n1648,-3.22876674281693,8
n1662,-2.19304414862394,22
n1667,-3.70396596678197,5
n1677,-4.2182609136025,3
n1685,-2.14687679098636,23
n1687,-3.00216491085157,10
n1710,-2.01913326864473,26
n1711,-2.90512719009219,11
n172,-1.94160240624576,28
n1737,-1.28175512746789,52
n1740,-3.70396596678196,5
n1741,-1.59148219783467,39
n1745,-5.32034712090361,1
n1746,-1.2610167111047,53
n1752,-3.70396596678196,5
n1767,-2.73462116602256,13
n177,-2.01913326864473,26
n1771,-2.06006679230716,25
n1776,-1.14364598793189,59
n1781,-3.00216491085157,10
n1808,-0.748463997451662,84
n1829,-2.24128070372103,21
n1837,-2.81638932330843,12
n184,-0.571037592326549,98
n1843,-3.22876674281693,8
n1867,-3.36402889844668,7
n1868,-0.535913509034787,101
n1885,-2.24128070372103,21
n1897,-2.14687679098636,23
n1912,-1.73719906213548,34
n1914,-2.01913326864473,26
n1921,-1.80123595697192,32
n1932,-2.65878877372373,14
n1934,-2.58807250110575,15
n1947,-2.19304414862394,22
n1949,-2.65878877372373,14
n1954,-1.73719906213548,34
n1955,-2.81638932330843,12
n1963,-0.803928661240424,80
n1964,-2.52181158765623,16
n1977,-1.76875772912284,33
n1981,-2.29178836023261,20
n1984,-1.64752969557201,37
n1986,-2.24128070372103,21
n1995,-3.22876674281693,8
n2,-0.403817285497485,113
n2003,-2.52181158765623,16
n2022,-2.14687679098636,23
n2031,-3.51991143906438,6
n2034,-2.58807250110575,15
n206,-1.18150417633145,57
n2073,-2.34480010856028,19
n2075,-1.94160240624576,28
n208,-2.81638932330843,12
n2086,-0.938334083571598,71
n2099,0.105311886129367,171
n2115,-2.90512719009219,11
n2127,-1.3462538899008,49
n2129,-1.08899668187074,62
n2149,-2.81638932330843,12
n2150,-1.41451522733064,46
n2156,-2.06006679230716,25
n2157,-2.81638932330843,12
n217,-3.36402889844668,7
n2179,-2.65878877372373,14
n2189,-2.06006679230716,25
n2197,-1.59148219783467,39
n2203,-4.2182609136025,3
n2211,-2.10260251764155,24
n2212,-2.58807250110575,15
n2224,-2.45946557240675,17
n2228,-2.58807250110575,15
n2232,-3.92884361178357,4
n2249,-2.40058675432394,18
n2269,-3.22876674281693,8
n2282,-2.24128070372103,21
n2285,-1.97968104286878,27
n2303,-2.29178836023261,20
n2342,-2.01913326864473,26
n2352,-2.90512719009219,11
n2364,-2.29178836023261,20
n237,-1.4870461441925,43
n2370,-2.45946557240675,17
n2372,-3.70396596678197,5
n2390,-1.2610167111047,53
n2391,-1.73719906213548,34
n2395,-2.73462116602256,13
n24,-1.73719906213548,34
n240,-2.34480010856028,19
n2414,-2.58807250110575,15
n2419,-1.39131408225435,47
n2423,-3.10925402987224,9
n2432,-0.876826008826669,75
n2449,-2.01913326864473,26
n2451,-1.56446375821739,40
n247,-3.36402889844668,7
n2473,-1.86919023742149,30
n2480,-3.36402889844668,7
n2500,-2.29178836023261,20
n2506,-2.90512719009219,11
n2510,-2.81638932330843,12
n2523,-1.97968104286878,27
n253,-4.2182609136025,3
n2531,-2.81638932330843,12
n2532,-2.40058675432394,18
n2535,-2.52181158765623,16
n2549,-1.05388347536692,64
n2574,-2.34480010856028,19
n2580,-3.36402889844668,7
n2587,-2.01913326864473,26
n2602,-2.10260251764155,24
n2612,-1.76875772912284,33
n262,-0.986538700526404,68
n2635,-0.342198612863316,119
n2656,-3.92884361178357,4
n2663,-3.51991143906438,6
n2666,-3.22876674281693,8
n2680,-2.90512719009219,11
n2682,-1.67663181284106,36
n2685,-2.90512719009219,11
n2690,-3.00216491085157,10
n2691,-1.83469209599483,31
n2705,-2.34480010856028,19
n2718,-0.861907606166019,76
n2722,-1.12515399712306,60
n2726,-3.10925402987224,9
n2729,-3.00216491085157,10
n2730,-2.06006679230716,25
n2741,-1.94160240624576,28
n2745,-2.34480010856028,19
n2755,-2.06006679230716,25
n2760,-2.73462116602256,13
n2772,-2.65878877372373,14
n2780,-3.10925402987224,9
n2802,-0.970261693449659,69
n2810,-1.3685665290991,48
n2818,-2.58807250110575,15
n2820,-3.22876674281693,8
n2821,-1.51227480678234,42
n2824,-2.65878877372373,14
n2830,-0.512994147404701,103
n2835,-2.65878877372373,14
n2844,-3.22876674281693,8
n2845,-2.73462116602256,13
n2857,-0.938334083571598,71
n2862,-0.414355377885931,112
n287,-2.81638932330843,12
n2871,-2.65878877372373,14
n2875,-2.45946557240675,17
n2878,-2.90512719009219,11
n288,-2.01913326864473,26
n2880,-2.73462116602256,13
n2894,-3.36402889844668,7
n2899,-1.12515399712306,60
n290,-1.61915914781588,38
n2901,-2.65878877372373,14
n2902,-2.45946557240675,17
n2907,-4.62546239996182,2
n2914,-2.45946557240675,17
n2919,-2.81638932330843,12
n2927,-2.01913326864473,26
n2941,-1.32435861872315,50
n2943,-2.14687679098636,23
n2960,-2.06006679230716,25
n2964,-3.51991143906438,6
n300,-3.22876674281693,8
n3000,-2.06006679230716,25
n3011,-0.986538700526404,68
n3017,-1.94160240624576,28
n3019,-2.90512719009219,11
n3026,-2.34480010856028,19
n304,-3.00216491085157,10
n3047,-2.29178836023261,20
n3053,-2.90512719009219,11
n306,-3.70396596678196,5
n3061,-2.14687679098636,23
n3062,-0.619347302609145,94
n3068,-2.90512719009219,11
n3070,-2.40058675432394,18
n3073,-2.65878877372373,14
n3080,-2.65878877372373,14
n3084,-2.73462116602256,13
n31,-1.24063513052395,54
n3108,-1.39131408225435,47
n3116,-2.45946557240675,17
n3119,-3.36402889844668,7
n3120,-0.457325432859196,108
n3141,-2.45946557240675,17
n3149,-1.51227480678234,42
n3153,-2.73462116602256,13
n3161,-2.81638932330843,12
n3165,-2.52181158765623,16
n3171,-3.10925402987224,9
n3175,-0.708374009316723,87
n3181,-2.34480010856028,19
n3184,-3.36402889844668,7
n319,-2.81638932330843,12
n3192,-2.90512719009219,11
n3199,-4.62546239996182,2
n3213,-2.81638932330843,12
n3214,-2.73462116602256,13
n3224,-2.58807250110575,15
n3227,-4.2182609136025,3
n3237,-2.45946557240675,17
n3270,-0.734962635677646,85
n3272,-2.65878877372373,14
n3297,-2.65878877372373,14
n3298,-2.52181158765623,16
n330,-0.938334083571597,71
n3307,-1.59148219783467,39
n3310,-0.789836478032582,81
n3316,-2.73462116602256,13
n3323,-3.70396596678196,5
n3331,-1.80123595697192,32
n3332,-1.2610167111047,53
n3336,-3.51991143906438,6
n3338,-2.14687679098636,23
n3341,-2.90512719009219,11
n3343,-0.414355377885931,112
n3344,-1.83469209599483,31
n3350,-1.53807134094284,41
n3354,-2.29178836023261,20
n3355,-3.00216491085157,10
n3359,-2.90512719009219,11
n3367,-1.46235927362908,44
n3371,-3.22876674281693,8
n3374,-0.607104969305449,95
n3375,-1.08899668187074,62
n3376,-2.10260251764155,24
n3387,-3.51991143906438,6
n3397,0.0751384953318253,167
n3399,-3.00216491085157,10
n3401,-1.24063513052395,54
n3403,0.105311886129367,171
n3406,-2.45946557240675,17
n3408,-0.302560017173244,123
n341,-2.45946557240675,17
n3414,-3.36402889844668,7
n343,-2.40058675432394,18
n3433,-0.708374009316723,87
n344,-3.10925402987224,9
n3468,-2.81638932330843,12
n348,-3.92884361178357,4
n3483,-0.490454369284861,105
n3491,-2.34480010856028,19
n35,-1.43818987385348,45
n3508,-1.30286421198043,51
n3524,-2.52181158765623,16
n3527,-3.51991143906438,6
n3539,-1.67663181284106,36
n3550,-1.97968104286878,27
n3551,-3.00216491085157,10
n3554,-0.861907606166019,76
n3569,-3.36402889844668,7
n3582,-0.594974094894539,96
n3587,-3.10925402987224,9
n3598,-1.61915914781588,38
n3607,-3.10925402987224,9
n3614,-2.52181158765623,16
n3645,-0.535913509034786,101
n3666,-3.51991143906438,6
n3682,-0.970261693449659,69
n3683,-2.10260251764155,24
n369,-2.65878877372373,14
n370,-2.24128070372103,21
n3723,-2.90512719009219,11
n3724,-1.61915914781588,38
n3725,-1.07131371481655,63
n3731,-1.94160240624577,28
n3732,-2.10260251764155,24
n3735,-2.19304414862394,22
n3740,-0.189785021001322,135
n3742,-1.12515399712306,60
n3747,-2.58807250110575,15
n3749,-2.29178836023261,20
n3751,-2.65878877372373,14
n3760,-0.110526299081396,144
n3767,-1.43818987385348,45
n377,-1.61915914781588,38
n3771,-2.73462116602256,13
n3783,-2.10260251764155,24
n3795,-1.64752969557201,37
n3800,-3.00216491085157,10
n3803,-5.32034712090361,1
n381,-1.20089089934672,56
n3825,-3.22876674281693,8
n383,-3.00216491085157,10
n3831,-1.80123595697192,32
n3855,-1.01975027028921,66
n3856,-3.22876674281693,8
n3863,-2.73462116602256,13
n3867,-3.10925402987224,9
n3873,-2.65878877372373,14
n3879,-1.86919023742149,30
n388,-2.58807250110575,15
n3887,-2.73462116602256,13
n3892,-1.70650668077122,35
n3911,-3.10925402987224,9
n3918,-2.81638932330843,12
n392,-2.52181158765623,16
n3921,-2.58807250110575,15
n3924,-2.58807250110575,15
n3937,-1.56446375821739,40
n394,-3.36402889844668,7
n3946,-1.61915914781588,38
n3949,-4.2182609136025,3
n396,-2.34480010856028,19
n3976,-2.65878877372373,14
n3979,-2.29178836023261,20
n3980,-3.22876674281693,8
n399,-2.45946557240675,17
n4007,-2.10260251764155,24
n401,-1.39131408225435,47
n4010,-2.29178836023261,20
n4011,-1.94160240624577,28
n4018,-1.97968104286878,27
n4030,-2.06006679230716,25
n4043,-0.938334083571598,71
n4055,-2.52181158765623,16
n4060,-2.73462116602256,13
n4063,-3.36402889844668,7
n4069,-2.14687679098636,23
n4072,-2.52181158765623,16
n4078,-3.00216491085157,10
n4079,-1.97968104286878,27
n4086,-3.36402889844668,7
n4093,0.393102074399422,213
n410,-1.83469209599483,31
n4110,-4.62546239996182,2
n4119,-3.22876674281693,8
n4120,-2.65878877372373,14
n4126,-3.00216491085157,10
n4128,-0.1540393072117,139
n413,-2.40058675432394,18
n4133,-1.97968104286878,27
n4141,-0.907203168039576,73
n416,-2.65878877372373,14
n4168,-0.524405456153337,102
n4170,-3.00216491085157,10
n4174,-0.446457291067544,109
n4182,-2.19304414862394,22
n4196,-2.34480010856028,19
n4202,-1.24063513052395,54
n4203,-1.28175512746789,52
n4226,-3.10925402987224,9
n4232,-1.1624260485613,58
n4234,-3.36402889844668,7
n4258,-2.81638932330843,12
n426,-3.36402889844668,7
n4265,-1.12515399712306,60
n4267,-2.01913326864473,26
n4268,-2.81638932330843,12
n4282,-2.10260251764155,24
n4284,-1.43818987385348,45
n4285,-3.36402889844668,7
n4292,-3.00216491085157,10
n4295,-2.14687679098636,23
n4297,-3.10925402987224,9
n43,-2.19304414862394,22
n4302,-2.10260251764155,24
n4330,-2.73462116602256,13
n4337,-3.00216491085157,10
n4352,-0.876826008826669,75
n4353,-1.20089089934672,56
n4354,-0.490454369284861,105
n4359,-2.73462116602256,13
n4367,-2.90512719009219,11
n4368,-1.41451522733064,46
n4372,-1.83469209599483,31
n4383,-1.4870461441925,43
n4385,-2.81638932330843,12
n4393,-2.90512719009219,11
n4400,-3.36402889844668,7
n4403,-3.22876674281693,8
n4418,-1.97968104286878,27
n4426,-5.32034712090361,1
n4438,-1.86919023742149,30
n4464,-1.67663181284106,36
n4473,-2.58807250110575,15
n4482,-1.30286421198043,51
n4488,-2.65878877372373,14
n4489,-3.10925402987224,9
n4499,-2.24128070372103,21
n4501,-3.36402889844668,7
n4508,-3.22876674281693,8
n4516,-1.86919023742149,30
n453,-2.65878877372373,14
n4532,-2.81638932330843,12
n4541,-2.81638932330843,12
n455,-1.94160240624576,28
n4556,-2.29178836023261,20
n4557,-2.29178836023261,20
n4581,-1.64752969557201,37
n459,-1.39131408225435,47
n4625,-2.40058675432394,18
n4632,-1.43818987385348,45
n4633,-2.24128070372103,21
n4641,-2.81638932330843,12
n4653,-2.52181158765623,16
n4655,-3.51991143906438,6
n4662,-2.65878877372373,14
n4667,-1.51227480678234,42
n4682,-0.891922915838098,74
n4684,-3.22876674281693,8
n4689,-2.06006679230716,25
n4704,-1.59148219783467,39
n4713,-1.94160240624577,28
n4715,-2.19304414862394,22
n4722,-1.08899668187074,62
n4735,-2.34480010856028,19
n4761,-2.06006679230716,25
n4767,-1.46235927362908,44
n4778,-1.12515399712306,60
n4779,-1.94160240624576,28
n4780,-2.73462116602256,13
n4781,-1.97968104286878,27
n4787,-2.10260251764155,24
n4788,-1.00303272350237,67
n4789,-2.24128070372103,21
n4792,-2.45946557240675,17
n4796,-3.00216491085157,10
n4799,-1.83469209599483,31
n481,-3.51991143906438,6
n4815,-1.90480099215796,29
n4821,-1.24063513052395,54
n4850,-2.58807250110575,15
n4862,-1.86919023742149,30
n4864,-2.73462116602256,13
n4865,-2.40058675432394,18
n4867,-2.52181158765623,16
n487,-3.22876674281693,8
n4874,-2.45946557240675,17
n4885,-2.58807250110575,15
n4889,-3.00216491085157,10
n4892,-2.14687679098636,23
n4895,-2.45946557240675,17
n491,-0.582952379119753,97
n4915,-2.90512719009219,11
n4917,-0.734962635677647,85
n4921,-3.10925402987224,9
n4953,-3.00216491085157,10
n4958,-2.52181158765623,16
n4959,-2.40058675432394,18
n4966,-3.00216491085157,10
n4968,-2.45946557240675,17
n4990,-0.970261693449659,69
n5009,-1.22059731475611,55
n501,-1.70650668077122,35
n5010,-2.65878877372373,14
n5018,-2.81638932330843,12
n5021,-2.14687679098636,23
n5027,-1.59148219783467,39
n5051,-2.10260251764155,24
n5052,-3.36402889844668,7
n5069,-2.10260251764155,24
n5073,-0.789836478032582,81
n5079,-2.01913326864473,26
n5086,-2.19304414862394,22
n5091,-1.90480099215796,29
n5101,-2.52181158765623,16
n5108,-1.94160240624577,28
n511,-1.97968104286878,27
n5121,-1.51227480678235,42
n5147,-1.67663181284106,36
n5158,-3.51991143906438,6
n5162,-1.2610167111047,53
n5191,-2.29178836023261,20
n5208,-1.4870461441925,43
n5213,-2.10260251764155,24
n5223,-2.10260251764155,24
n5228,-0.594974094894539,96
n5229,-2.34480010856028,19
n5253,-3.36402889844668,7
n5259,-1.94160240624576,28
n5289,-2.19304414862394,22
n5294,-2.01913326864473,26
n5297,-1.24063513052395,54
n5303,-0.145235260885016,140
n5312,-1.86919023742149,30
n5328,-3.51991143906438,6
n5345,-1.67663181284106,36
n5348,-2.45946557240675,17
n535,-1.61915914781588,38
n5357,-2.90512719009219,11
n5374,-1.64752969557201,37
n5392,-3.36402889844668,7
n5404,-3.10925402987224,9
n5425,-2.24128070372103,21
n5435,-1.67663181284106,36
n5447,-2.45946557240675,17
n5458,-4.2182609136025,3
n5464,-2.10260251764155,24
n5475,-2.19304414862394,22
n5487,-0.986538700526404,68
n5497,-2.52181158765623,16
n5499,-1.32435861872315,50
n55,-2.24128070372103,21
n550,-2.52181158765623,16
n5503,-2.40058675432394,18
n5522,-1.00303272350237,67
n5523,-1.32435861872315,50
n5525,-2.40058675432394,18
n5528,-1.12515399712306,60
n5549,-2.58807250110575,15
n5554,-2.81638932330843,12
n5555,-1.56446375821739,40
n5558,-3.36402889844668,7
n5567,-1.80123595697192,32
n558,-2.73462116602256,13
n5580,-3.00216491085157,10
n5590,-2.90512719009219,11
n5600,-2.52181158765623,16
n5602,-2.58807250110575,15
n5604,-2.24128070372103,21
n5612,-3.22876674281693,8
n5614,-2.19304414862394,22
n5621,-1.64752969557201,37
n5629,-4.62546239996182,2
n5632,-3.92884361178356,4
n5634,-1.90480099215796,29
n5638,0.220741448674841,187
n5648,-2.14687679098636,23
n565,-3.70396596678196,5
n5653,-2.90512719009219,11
n5664,-0.535913509034786,101
n5675,-2.45946557240675,17
n5678,-2.65878877372373,14
n5693,-2.24128070372103,21
n5694,-1.86919023742149,30
n57,-1.67663181284106,36
